Customer_ID,Name 1,Street,Postal Code,City,Payment Term (Sales Org),Created on,Currency,Telephone 1
100254827,Officina Elettromeccanica Menegolo,Frazione Plan Felinaz 73,11020,Charvensod,30,06/09/2017,EUR,16544144
100254827,Officina Elettromeccanica Menegolo,Frazione Plan Felinaz 73,11020,Charvensod,30,06/09/2017,EUR,16544144
104000000,ONE TIME CUSTOMER,,,,CASH,10/23/2018,NGN,
104000000,ONE TIME CUSTOMER,,,,30,10/23/2018,NGN,
4000160980,SAVIC PETROLEUM RESOURCES,"Plot 288 Marina District, Eko Atlan",500001,Port Harcourt,60,01/03/2022,NGN,803 525 0247
4000160981,ALPHA PRESS NIGERIA LIMITED,15 Shipeolu Street,100001,ONIPANU,60,01/03/2022,NGN,803 448 2919
4000160982,INTER-SNACK LIMITED,Plot 2 Lagelu Industrial Estate,200001,Ibadan,60,01/03/2022,NGN,816 651 6655
4000160983,NAVGAS NIGERIA LIMITED,23 Creek Road,100001,Apapa,60,01/03/2022,NGN,144 061 45
4000160984,African Industries Limited,KM 45 Ikorodu-Sagamu Road,100001,Ikorodu,60,01/03/2022,NGN,815 909 4092
4000160985,DRAKTA PROJECTS LIMITED,18A WEBILOR WORGU STREET,500001,Port Harcourt,60,01/03/2022,NGN,803 230 2363
4000160986,LEMON PRESS LIMITED,KM Owerri Express Road,440001,Aba,60,01/03/2022,NGN,802 935 1425
4000160987,TANAMONT NIGERIA LIMITED,Plot E Ikosi Road,100001,Kosofe,60,01/03/2022,NGN,803 395 4275
4000160988,RELIANCE CHEMICAL PRODUCTS,Raufu Taylor Close,100001,Victoria Island,60,01/03/2022,NGN,814 130 6961
4000160989,Ekesen Nigeria Limited,NO.31 IKORODU ROAD,100001,JIBOWU,60,01/03/2022,NGN,803 343 3596
4000160604,TOP INLET CONTROL,70 Enerhen Road,320001,Warri,60,01/03/2022,NGN,903 575 0494
100756420,AFRICAN INDUSTRIES LIMITED,KM 45 Ikorodu-Sagamu Road,100001,Ikorodu,CASH,1/13/2022,NGN,815 909 4092
100756421,HALLIBURTON ENERGY SERVICING,90 Ajose Adeogun street,100001,Victoria Island,CASH,1/13/2022,NGN,
4000160990,THE STEFCOS - TOGO COMPANY,Zone Portuaire - Quartier,12345,LOME,60,01/03/2022,NGN,22891062013
4000160991,ULTIMATE GAS LIMITED,PLOT 83 TOKARAWA INDUSTRIA AREA,800001,HOTORO,60,01/03/2022,NGN,803 326 2333
4000160992,OPANIL NIGERIA LIMITED,KM2 Opete Road,320001,Warri,60,01/03/2022,NGN,803 777 0565
4000160993,FIDSON HEALTHCARE LIMITED,268 Ikorodu Road,100001,OBANIKORO,60,01/03/2022,NGN,805 540 1763
4000160994,CROWN CERAMICS NIGERIA,Abeokuta Expressway,110001,Ado Odo,60,01/03/2022,NGN,706 512 0406
4000160995,FABYC INTEGRATED SERVICES,"11C Finima Street, Old GRA Road",500001,Port Harcourt,60,01/03/2022,NGN,818 808 9200
4000160996,DANGOTE SUGAR REFINERY PLC,"TERMINAL E, GREENVIEW BUILDING",100001,Apapa,60,01/03/2022,NGN,807 149 0872
4000160997,SHELL PETROLEUM DEVELOPMENT,SHELL INDUSTRIAL AREA,500001,PORT HARCOURT,60,01/03/2022,NGN,807 033 9613
4000160998,GRACECO LIMITED,5-9 Temitayo Street,100001,Alagbado,60,01/03/2022,NGN,809 393 1020
4000160999,SEVEN-UP BOTTLING COMPANY LIMITED,Mobolaji Johnson Way,100001,Ikeja,60,01/03/2022,NGN,805 649 1139
100754601,KB INTEGRATED ENGINEERING,Plot 4526 Opposite Nizamiye,900001,Abuja,60,01/03/2022,NGN,810 198 8784
100754602,INTERNATIONAL BREWERIES PLC - ILESH,Lawrence Omole Way,230001,Ilesa East,121,01/03/2022,NGN,812 913 0422
100754603,INTERNATIONAL BREWERIES PLC - SAGAM,GATEWAY PLANT,110001,Sagamu,120,01/03/2022,NGN,2.36E+12
100754604,INTERNATIONAL BREWERIES PLC - ONITS,"Sabmiller Drive, Niger Bridge Head",420001,Onitsha,121,01/03/2022,NGN,2.37E+12
100754605,INTERNATIONAL BREWERIES PLC - PORT,Trans-Amadi Industrial,500001,Port Harcourt,120,01/03/2022,NGN,2.38E+12
100754606,ANUDU PLASTICS NIGERIA LIMITED,"26 Amaechi Anudu, Akwubulu",320001,Asaba,60,01/03/2022,NGN,803 715 6953
100754607,JUBAILI AGROTEC LIMITED,"9 Magazine Road, Jericho",200001,Ibadan,CASH,01/03/2022,NGN,
100754608,HONEYWELL FLOUR MILLS PLC,"NPA PREMISES, 2ND GATE BYPASS",100001,Apapa,60,01/03/2022,NGN,146 331 83
100754609,GUINNESS NIGERIA PLC-IKEJA,"13 Acme Road, Industrial Layout",100001,Ogba,60,01/03/2022,NGN,803 330 6019
4000160633,STUDIO PRESS (NIGERIA) PLC,PLOT B ISRAEL ADEBANJO CLOSE,100001,Ikeja,60,01/03/2022,NGN,818 636 6840
4000160634,ASPIRA NIGERIA LIMITED,KM 8 Hadejia Road,800001,Kano,60,01/03/2022,NGN,817 053 7783
106111878,SINOMA NIGERIA COMPANY LIMITED,CP-56 Cambial Road,900001,Abuja,CASH,4/19/2023,NGN,+234 8061247745
100754610,GUINNESS NIGERIA PLC-BENIN,"Ikpoba Hill, Oregbeni",300001,Benin,60,01/03/2022,NGN,
100754611,BEJE HOSPITAL SERVICES,Lagos Ibadan Express Road,110001,Sagamu,60,01/03/2022,NGN,818 539 7303
100754612,ADEFOLORUNSHO TECHNICAL VENTURES,KM 37 Lagos-Abeokuta Expressway,110001,Abeokuta,60,01/03/2022,NGN,8033851445
100754613,EGBIN POWER PLC,Egbin Power Complex,100001,Ikorodu,60,01/03/2022,NGN,802 222 1268
100754614,EROTON EXPLORATION  & PRODUCTION,43 Sinari Daranijo Street,100001,Victoria Island,60,01/03/2022,NGN,
100754615,GOLDEN OIL INDUSTRIES LIMITED,Plot 51A Harbour Industrial Layout,420001,Onitsha,60,01/03/2022,NGN,803 635 9205
100754616,PETRO-PRIDE SUBSEA LIMITED,18B Ayinde Akinmade Street,100001,Lekki,60,01/03/2022,NGN,803 454 7560
100754617,CUTIX PLC,17 OSITAONYEJIANYA STREET,420001,ONITSHA,60,01/03/2022,NGN,803 091 9370
100754618,NAMPAK BEVCAN NIGERIA,3-7 Metal Box Road,100001,Ikeja,60,01/03/2022,NGN,903 886 8477
100754619,SC JOHNSON & SON LIMITED,13/14 Abimbola Industrial Estate,100001,Isolo,60,01/03/2022,NGN,908 706 1993
4000160649,NAMPAK CARTONS,KM9 Oba Otudeko Avenue,110001,Abeokuta,60,01/03/2022,NGN,903 777 5875
4000160650,PIC GLOBAL ENERGY SERVICE,43 Anthony Enahoro Street,900001,Abuja,CASH,01/03/2022,NGN,803 702 8260
4000345616,DAVINEBO CONSTRUCTION COMPANY LIMIT,"C17E, Bourdillon court estate, Chev",100001,Lekki,4,11/13/2023,NGN,8077646412
